Country Name,Tariff_1990,FDI_1990,TB_1990,Tariff_2015,FDI_2015,TB_2015,Tariff_Diff,FDI_Diff,TB_Diff
Brazil,18.95,-324000000.0,5760628518.866402,8.27,-61604176364.71,-20783887933.045013,-10.68,-61280176364.71,-26544516451.911415
Canada,,-2351322579.60475,918752142.6130066,1.65,23927632715.3373,-38367633198.494995,,26278955294.94205,-39286385341.108
China,,-2657000000.0,10668000000.0,4.52,-68098649764.7788,358836357205.9302,,-65441649764.7788,348168357205.9302
France,,21640172226.7156,-7657631610.648987,2.02,36130892033.2982,-2874747899.609009,,14490719806.582603,4782883711.039978
Germany,,21480192634.5027,-3700909090.9089966,2.02,56842205697.6296,253944200893.3601,,35362013063.1269,257645109984.2691
India,56.36,,-4492297406.468498,7.32,-36495216490.7242,-48309654578.37201,-49.04,,-43817357171.90351
Israel,,48400000.0,-2909684555.1036987,2.83,-367800000.0,9497467432.785904,,-416200000.0,12407151987.889603
Italy,,1005044782.63723,2328492243.050995,2.02,2120880782.65147,52641504803.43799,,1115836000.0142398,50313012560.38699
Japan,3.61,,24355543277.448975,2.3,133162791214.283,-24619967678.36902,-1.31,,-48975510955.81799
"Korea, Rep.",9.54,87600000.0,-2158204667.599701,5.72,19583000000.0,100374242065.86896,-3.8199999999999994,19495400000.0,102532446733.46866
Turkiye,,-700000000.0,-6346799540.0535965,3.19,-14167000000.0,-17510902059.514984,,-13467000000.0,-11164102519.461388
United Arab Emirates,,,,2.99,,89530292716.13303,,,
United Kingdom,,-13379913178.091,-17379332386.363983,2.02,-105510499552.5,-44259720573.26697,,-92130586374.409,-26880388186.902985
United States,3.92,-11290000000.0,-77855000000.0,1.69,-209363000000.0,-524320000000.0,-2.23,-198073000000.0,-446465000000.0
